Site Number,State,Country,Total_Patients,Total_Randomized_Patients,Total_Randomized_Patients_Jan_To_Jul
43699,FL,USA,1,1,1
43702,WV,USA,0,0,0
43703,NC,USA,3,1,1
43705,CA,USA,0,0,0
43706,MO,USA,3,2,2
43708,CA,USA,3,2,1
43710,NJ,USA,0,0,0
43711,LA,USA,3,3,2
43713,AL,USA,4,4,2
43715,CA,USA,2,1,1
43717,CA,USA,0,0,0
43719,CA,USA,4,1,1
43720,VT,USA,1,0,0
43722,NV,USA,6,6,1
43723,FL,USA,7,3,3
43726,NC,USA,2,1,0
43728,IN,USA,0,0,0
43729,CA,USA,1,1,1
43731,DC,USA,0,0,0
43733,AZ,USA,3,1,1
43734,FL,USA,2,0,0
43736,TX,USA,0,0,0
43737,CA,USA,5,4,4
43739,OH,USA,0,0,0
43741,OH,USA,0,0,0
43742,WI,USA,1,0,0
43743,MO,USA,0,0,0
43744,FL,USA,5,3,3
43745,ME,USA,2,2,0
43746,AL,USA,1,1,1
43748,NY,USA,1,0,0
43751,LA,USA,2,1,1
43754,KS,USA,8,4,2
43755,IL,USA,0,0,0
43757,KY,USA,1,0,0
43758,WI,USA,0,0,0
43759,CA,USA,0,0,0
43761,TX,USA,3,2,1
43762,TX,USA,3,1,1
43763,TN,USA,0,0,0
43765,OK,USA,4,1,1
43767,VA,USA,0,0,0
43769,OH,USA,0,0,0
43770,TX,USA,0,0,0
43771,AZ,USA,1,1,0
43772,UT,USA,0,0,0
43773,PA,USA,2,1,1
43776,MD,USA,1,1,1
43777,CA,USA,5,2,2
43778,NC,USA,4,4,0
43779,MD,USA,6,4,1
43780,TN,USA,4,1,1
43781,SD,USA,5,3,3
43783,AL,USA,9,2,2
43785,OK,USA,0,0,0
43786,IA,USA,5,2,1
43787,NV,USA,8,4,4
43789,NJ,USA,10,5,5
43790,NE,USA,4,2,2
43793,WA,USA,2,1,0
43794,NY,USA,5,3,3
43795,CT,USA,0,0,0
43798,AL,USA,8,5,4
43800,TN,USA,0,0,0
43801,NC,USA,0,0,0
43803,PA,USA,0,0,0
43804,KS,USA,0,0,0
43806,MI,USA,2,2,2
43810,GA,USA,2,1,0
43811,MI,USA,0,0,0
43812,TX,USA,0,0,0
43813,MO,USA,0,0,0
43814,IL,USA,10,7,6
43815,TX,USA,0,0,0
43816,MI,USA,5,3,3
43818,VA,USA,4,1,1
43820,TX,USA,2,2,0
43822,MI,USA,3,1,1
43825,OH,USA,1,1,0
43827,FL,USA,5,4,4
43828,CO,USA,4,3,2
43829,TX,USA,0,0,0
43831,CA,USA,0,0,0
43832,CA,USA,0,0,0
43834,CA,USA,0,0,0
43835,CA,USA,0,0,0
43836,CA,USA,0,0,0
43837,DC,USA,0,0,0
43838,FL,USA,0,0,0
43839,FL,USA,10,7,0
43840,FL,USA,0,0,0
43846,IN,USA,0,0,0
43847,MA,USA,0,0,0
43850,MO,USA,0,0,0
43851,MS,USA,5,3,2
43852,NC,USA,0,0,0
43853,NV,USA,0,0,0
43854,NY,USA,0,0,0
43855,NY,USA,0,0,0
43856,NY,USA,0,0,0
43857,OH,USA,0,0,0
43859,OH,USA,4,4,1
43860,PA,USA,19,11,9
43861,RI,USA,0,0,0
43864,TN,USA,0,0,0
43865,TN,USA,0,0,0
43866,TX,USA,0,0,0
43868,TX,USA,3,2,0
43870,WI,USA,1,0,0
43871,UT,USA,2,0,0
43872,VA,USA,0,0,0
43873,FL,USA,3,2,2
43874,FL,USA,0,0,0
43875,CO,USA,0,0,0
43876,MD,USA,0,0,0
43877,AR,USA,0,0,0
43878,NJ,USA,1,1,1
43879,CO,USA,0,0,0
43880,TX,USA,0,0,0
43881,FL,USA,4,3,2
43884,TX,USA,3,1,1
43885,OK,USA,2,1,1
43888,OH,USA,1,1,0
43889,TN,USA,0,0,0
43890,KY,USA,0,0,0
43892,TX,USA,0,0,0
43893,UT,USA,0,0,0
43894,NC,USA,2,0,0
43895,FL,USA,3,0,0
43896,AZ,USA,0,0,0
43898,MA,USA,0,0,0
43899,NC,USA,6,3,2
43900,KS,USA,4,1,0
43901,IN,USA,5,3,2
43902,FL,USA,3,0,0
43904,CA,USA,0,0,0
43905,MO,USA,0,0,0
43906,RI,USA,0,0,0
43907,KY,USA,9,5,1
43908,NC,USA,0,0,0
43909,CA,USA,2,1,0
43912,OH,USA,8,2,2
43914,LA,USA,6,4,4
43916,MN,USA,1,1,0
43917,FL,USA,9,5,4
43918,MO,USA,0,0,0
43922,PA,USA,0,0,0
43923,SC,USA,0,0,0
43924,LA,USA,5,3,2
43926,MD,USA,0,0,0
43927,PA,USA,0,0,0
43928,NC,USA,1,0,0
43929,CA,USA,0,0,0
43930,IN,USA,1,1,1
43932,PA,USA,1,1,1
43933,ME,USA,0,0,0
43934,TX,USA,0,0,0
43935,CO,USA,0,0,0
43937,AR,USA,0,0,0
43938,IL,USA,1,1,0
43939,TN,USA,0,0,0
43940,NJ,USA,0,0,0
43943,WI,USA,0,0,0
43944,TX,USA,0,0,0
43945,FL,USA,1,0,0
43946,WI,USA,0,0,0
43947,FL,USA,3,1,0
43948,FL,USA,0,0,0
43949,NC,USA,0,0,0
43950,SC,USA,0,0,0
43951,AL,USA,0,0,0
43952,IL,USA,3,1,1
43953,KY,USA,0,0,0
43954,NC,USA,0,0,0
43956,SC,USA,1,1,0
43957,MD,USA,0,0,0
43959,MN,USA,0,0,0
43960,GA,USA,0,0,0
43961,TX,USA,0,0,0
43962,CA,USA,0,0,0
43964,PA,USA,0,0,0
43966,CA,USA,0,0,0
43967,CO,USA,0,0,0
43968,NY,USA,0,0,0
43969,CA,USA,0,0,0
43970,CA,USA,0,0,0
43971,AL,USA,0,0,0
43972,NY,USA,0,0,0
43973,FL,USA,0,0,0
43974,NV,USA,0,0,0
43977,TX,USA,0,0,0
43979,CO,USA,0,0,0
43980,OH,USA,1,0,0
43982,CO,USA,0,0,0
43983,VA,USA,0,0,0
43984,NY,USA,0,0,0
43986,FL,USA,0,0,0
43989,VA,USA,0,0,0
43991,ME,USA,0,0,0
43992,MD,USA,0,0,0
43994,CA,USA,0,0,0
43995,WA,USA,0,0,0
43996,CT,USA,1,0,0
43997,NY,USA,0,0,0
44000,VA,USA,0,0,0
44002,IL,USA,0,0,0
44003,TX,USA,0,0,0
44004,PA,USA,0,0,0
44005,PA,USA,0,0,0
44007,NH,USA,0,0,0
44008,TN,USA,0,0,0
44011,DE,USA,0,0,0
44012,CA,USA,0,0,0
44013,FL,USA,0,0,0
44015,CT,USA,0,0,0
44016,RI,USA,0,0,0
44017,HI,USA,0,0,0
44019,NJ,USA,0,0,0
44020,WI,USA,0,0,0
44022,WV,USA,0,0,0
44023,GA,USA,0,0,0
44024,FL,USA,2,1,0
44025,TX,USA,0,0,0
44026,NY,USA,0,0,0
44027,NY,USA,0,0,0
44029,WI,USA,0,0,0
44030,NJ,USA,0,0,0
44031,FL,USA,0,0,0
44032,TX,USA,0,0,0
44034,IL,USA,0,0,0
44035,PA,USA,0,0,0
44036,AL,USA,0,0,0
44037,CA,USA,0,0,0
44038,GA,USA,0,0,0
44040,NY,USA,0,0,0
44041,NC,USA,0,0,0
44042,NC,USA,0,0,0
44043,FL,USA,0,0,0
44044,TX,USA,0,0,0
44045,FL,USA,0,0,0
44046,HI,USA,0,0,0
44047,NJ,USA,0,0,0
44049,TX,USA,0,0,0
44050,NJ,USA,0,0,0
44052,FL,USA,0,0,0
44053,LA,USA,0,0,0
44054,NM,USA,0,0,0
44056,MD,USA,0,0,0
